otu,color,model,otu_color_name
Bacteroides (OTU 4),black,DCvNDC,<i style='color:black'>Bacteroides</i> (OTU 4)
Lactobacillus (OTU 55),black,DCvNDC,<i style='color:black'>Lactobacillus</i> (OTU 55)
Lachnospiraceae (OTU 120),black,DCvNDC,<i style='color:black'>Lachnospiraceae</i> (OTU 120)
Lactococcus (OTU 132),black,CvDC,<i style='color:black'>Lactococcus</i> (OTU 132)
Bacteroides (OTU 536),black,CvNDC,<i style='color:black'>Bacteroides</i> (OTU 536)
Oscillibacter (OTU 264),black,CvNDC,<i style='color:black'>Oscillibacter</i> (OTU 264)
Enterococcus (OTU 9),black,CvDC,<i style='color:black'>Enterococcus</i> (OTU 9)
Clostridium XVIII (OTU 104),black,CvDC,<i style='color:black'>Clostridium XVIII</i> (OTU 104)
Oscillibacter (OTU 50),black,DCvNDC,<i style='color:black'>Oscillibacter</i> (OTU 50)
Hungatella (OTU 28),black,CvDC,<i style='color:black'>Hungatella</i> (OTU 28)
Blautia (OTU 35),black,DCvNDC,<i style='color:black'>Blautia</i> (OTU 35)
Megasphaera (OTU 108),black,CvNDC,<i style='color:black'>Megasphaera</i> (OTU 108)
Ruminococcaceae (OTU 243),black,DCvNDC,<i style='color:black'>Ruminococcaceae</i> (OTU 243)
Bacteroides (OTU 8),black,CvNDC,<i style='color:black'>Bacteroides</i> (OTU 8)
Clostridium XlVa (OTU 172),black,CvDC,<i style='color:black'>Clostridium XlVa</i> (OTU 172)
Bacteroides (OTU 6),black,DCvNDC,<i style='color:black'>Bacteroides</i> (OTU 6)
Ruminococcaceae (OTU 117),black,DCvNDC,<i style='color:black'>Ruminococcaceae</i> (OTU 117)
Lachnospiraceae (OTU 358),black,DCvNDC,<i style='color:black'>Lachnospiraceae</i> (OTU 358)
