otu,color,overlap,otu_color_name
Bifidobacterium (OTU 45),grey50,ndc,<i style='color:grey50'>Bifidobacterium</i> (OTU 45)
Roseburia (OTU 25),grey50,ndc,<i style='color:grey50'>Roseburia</i> (OTU 25)
Blautia (OTU 51),blue,dc,<i style='color:blue'>Blautia</i> (OTU 51)
Clostridium XlVb (OTU 99),red,case,<i style='color:red'>Clostridium XlVb</i> (OTU 99)
Flavonifractor (OTU 47),blue,dc,<i style='color:blue'>Flavonifractor</i> (OTU 47)
Oscillibacter (OTU 264),grey50,ndc,<i style='color:grey50'>Oscillibacter</i> (OTU 264)
Streptococcus (OTU 24),goldenrod,all,<i style='color:goldenrod'>Streptococcus</i> (OTU 24)
Clostridium sensu (OTU 84),red,case,<i style='color:red'>Clostridium sensu</i> (OTU 84)
Enterobacteriaceae (OTU 3),grey50,ndc,<i style='color:grey50'>Enterobacteriaceae</i> (OTU 3)
Clostridium sensu (OTU 62),red,case,<i style='color:red'>Clostridium sensu</i> (OTU 62)
Blautia (OTU 61),grey50,ndc,<i style='color:grey50'>Blautia</i> (OTU 61)
Clostridium XlVa (OTU 15),goldenrod,all,<i style='color:goldenrod'>Clostridium XlVa</i> (OTU 15)
Clostridiales (OTU 148),red,case,<i style='color:red'>Clostridiales</i> (OTU 148)
Phascolarctobacterium (OTU 10),blue,dc,<i style='color:blue'>Phascolarctobacterium</i> (OTU 10)
Ruminococcaceae (OTU 106),grey50,ndc,<i style='color:grey50'>Ruminococcaceae</i> (OTU 106)
Clostridium XlVa (OTU 34),red,case,<i style='color:red'>Clostridium XlVa</i> (OTU 34)
Megasphaera (OTU 38),red,case,<i style='color:red'>Megasphaera</i> (OTU 38)
Fusobacterium (OTU 33),red,case,<i style='color:red'>Fusobacterium</i> (OTU 33)
Erysipelotrichaceae (OTU 129),red,case,<i style='color:red'>Erysipelotrichaceae</i> (OTU 129)
Clostridium XlVa (OTU 91),red,case,<i style='color:red'>Clostridium XlVa</i> (OTU 91)
